id,qname,heading,text,type,diagram,website,updated
,LegislationLegalForceCode,LegislationLegalForceCode,"A code identifying whether a law is in force, not in force, or partially in force.",Class,https://w3id.org/citydata/part2/v1/diagrams/LegislationLegalForceCode.dot.svg,https://w3id.org/citydata/part2/v1/LegislationLegalForceCode,2026-07-23T14:01:11.870298
,RoadLink,RoadLink,A Road Link is a type of Travelled Way Link that represents a length of Road.,Class,https://w3id.org/citydata/part2/v1/diagrams/RoadLink.dot.svg,https://w3id.org/citydata/part2/v1/RoadLink,2026-07-23T14:01:11.870298
,Gender,Gender,Gender is a type of Code that describes the gender identity of a person.,Class,https://w3id.org/citydata/part2/v1/diagrams/Gender.dot.svg,https://w3id.org/citydata/part2/v1/Gender,2026-07-23T14:01:11.870298
,PersonThing,PersonThing,"Added for organizational purposes, to identify classes defined in the Person ontology.",Class,https://w3id.org/citydata/part2/v1/diagrams/PersonThing.dot.svg,https://w3id.org/citydata/part2/v1/PersonThing,2026-07-23T14:01:11.870298
,Program,Program,"A program is a major city initiative to address the needs of constituents (citizens, clients). A Program defines a set of services that focus on achieving a shared set of Outcomes.",Class,https://w3id.org/citydata/part2/v1/diagrams/Program.dot.svg,https://w3id.org/citydata/part2/v1/Program,2026-07-23T14:01:11.870298
,MainBylaw,MainBylaw,A Main Bylaw is a legally enforceable rule that serves as the primary legislative document for a law within a Jurisdictional Area.,Class,https://w3id.org/citydata/part2/v1/diagrams/MainBylaw.dot.svg,https://w3id.org/citydata/part2/v1/MainBylaw,2026-07-23T14:01:11.870298
,Wage,Wage,A Wage is a form of compensation paid to an employee and is defined on an hourly basis.,Class,https://w3id.org/citydata/part2/v1/diagrams/Wage.dot.svg,https://w3id.org/citydata/part2/v1/Wage,2026-07-23T14:01:11.870298
,BusinessEstablishment,BusinessEstablishment,Business Establishment: A Business establishment is a physical location where an Organization conducts business.,Class,https://w3id.org/citydata/part2/v1/diagrams/BusinessEstablishment.dot.svg,https://w3id.org/citydata/part2/v1/BusinessEstablishment,2026-07-23T14:01:11.870298
,Output,Output,Output is a quantitative summary of an activity.,Class,https://w3id.org/citydata/part2/v1/diagrams/Output.dot.svg,https://w3id.org/citydata/part2/v1/Output,2026-07-23T14:01:11.870298
,PersonId,PersonId,Person ID is a type of City Thing that represents an identification document issued to a person by an authoritative body.,Class,https://w3id.org/citydata/part2/v1/diagrams/PersonId.dot.svg,https://w3id.org/citydata/part2/v1/PersonId,2026-07-23T14:01:11.870298
,LandUseThing,LandUseThing,"Added for organizational purposes, to identify classes defined in the Land Use ontology.",Class,https://w3id.org/citydata/part2/v1/diagrams/LandUseThing.dot.svg,https://w3id.org/citydata/part2/v1/LandUseThing,2026-07-23T14:01:11.870298
,Service,Service,A Program is composed of one or more Services.,Class,https://w3id.org/citydata/part2/v1/diagrams/Service.dot.svg,https://w3id.org/citydata/part2/v1/Service,2026-07-23T14:01:11.870298
,Country,Country,A Country is a specialization of a Jurisdictional Area that is formally identified as such.,Class,https://w3id.org/citydata/part2/v1/diagrams/Country.dot.svg,https://w3id.org/citydata/part2/v1/Country,2026-07-23T14:01:11.870298
,Citizenship,Citizenship,Citizenship is a type of City Thing that indicates the country of citizenship for a person during a specific period.,Class,https://w3id.org/citydata/part2/v1/diagrams/Citizenship.dot.svg,https://w3id.org/citydata/part2/v1/Citizenship,2026-07-23T14:01:11.870298
,CityResidentThing,CityResidentThing,"Added for organizational purposes, to identify classes defined in the City Resident ontology.",Class,https://w3id.org/citydata/part2/v1/diagrams/CityResidentThing.dot.svg,https://w3id.org/citydata/part2/v1/CityResidentThing,2026-07-23T14:01:11.870298
,PhoneNumber,PhoneNumber,A PhoneNumber defines the complete international phone number and type of number.,Class,https://w3id.org/citydata/part2/v1/diagrams/PhoneNumber.dot.svg,https://w3id.org/citydata/part2/v1/PhoneNumber,2026-07-23T14:01:11.870298
,Organization,Organization,An Organization defined broadly as a formal or semi-formal group for which structure and behaviour are defined.,Class,https://w3id.org/citydata/part2/v1/diagrams/Organization.dot.svg,https://w3id.org/citydata/part2/v1/Organization,2026-07-23T14:01:11.870298
,Tunnel,Tunnel,A Tunnel is a Infrastructure Element that enables travel through or underneath some obstacle or area. It may contain some Road or RailLine Segments.,Class,https://w3id.org/citydata/part2/v1/diagrams/Tunnel.dot.svg,https://w3id.org/citydata/part2/v1/Tunnel,2026-07-23T14:01:11.870298
,Warranty,Warranty,A Warranty is a contractual promise of some indemnification if an assertion made in the Contract is false.,Class,https://w3id.org/citydata/part2/v1/diagrams/Warranty.dot.svg,https://w3id.org/citydata/part2/v1/Warranty,2026-07-23T14:01:11.870298
,Alert,Alert,An Alert can be used to notify people of important information.,Class,https://w3id.org/citydata/part2/v1/diagrams/Alert.dot.svg,https://w3id.org/citydata/part2/v1/Alert,2026-07-23T14:01:11.870298
,NonBindingTerm,NonBindingTerm,A NonBindingTerm is a term in a contract that does not have legal force.,Class,https://w3id.org/citydata/part2/v1/diagrams/NonBindingTerm.dot.svg,https://w3id.org/citydata/part2/v1/NonBindingTerm,2026-07-23T14:01:11.870298
,CatchmentAreaType,CatchmentAreaType,Catchment Area Type is a type of Code that describes the type of catchment area that stakeholders represent,Class,https://w3id.org/citydata/part2/v1/diagrams/CatchmentAreaType.dot.svg,https://w3id.org/citydata/part2/v1/CatchmentAreaType,2026-07-23T14:01:11.870298
,PersonName,PersonName,,Class,https://w3id.org/citydata/part2/v1/diagrams/PersonName.dot.svg,https://w3id.org/citydata/part2/v1/PersonName,2026-07-23T14:01:11.870298
,CityResident,CityResident,A City Resident is a Person who satisfies the requirements of being a city resident for the particular City.,Class,https://w3id.org/citydata/part2/v1/diagrams/CityResident.dot.svg,https://w3id.org/citydata/part2/v1/CityResident,2026-07-23T14:01:11.870298
,LandUseClassification,LandUseClassification,Land Use Classification is a type of Code that describes the use of a Land Area.,Class,https://w3id.org/citydata/part2/v1/diagrams/LandUseClassification.dot.svg,https://w3id.org/citydata/part2/v1/LandUseClassification,2026-07-23T14:01:11.870298
,Law,Law,A Law is an legally enforceable rule.,Class,https://w3id.org/citydata/part2/v1/diagrams/Law.dot.svg,https://w3id.org/citydata/part2/v1/Law,2026-07-23T14:01:11.870298
,PhoneType,PhoneType,A PhoneType defines the type of phone number.,Class,https://w3id.org/citydata/part2/v1/diagrams/PhoneType.dot.svg,https://w3id.org/citydata/part2/v1/PhoneType,2026-07-23T14:01:11.870298
,Person,Person,A Person is an individual human being.,Class,https://w3id.org/citydata/part2/v1/diagrams/Person.dot.svg,https://w3id.org/citydata/part2/v1/Person,2026-07-23T14:01:11.870298
,BuildingThing,BuildingThing,"Added for organizational purposes, to identify classes defined in the Building ontology.",Class,https://w3id.org/citydata/part2/v1/diagrams/BuildingThing.dot.svg,https://w3id.org/citydata/part2/v1/BuildingThing,2026-07-23T14:01:11.870298
,Contract,Contract,A contract is a legally binding agreement between two or more parties.,Class,https://w3id.org/citydata/part2/v1/diagrams/Contract.dot.svg,https://w3id.org/citydata/part2/v1/Contract,2026-07-23T14:01:11.870298
,Education,Education,Education is a type of Code that describes the educational background of a person.,Class,https://w3id.org/citydata/part2/v1/diagrams/Education.dot.svg,https://w3id.org/citydata/part2/v1/Education,2026-07-23T14:01:11.870298
,CodeThing,CodeThing,"Added for organizational purposes, to identify classes defined in the Code ontology.",Class,https://w3id.org/citydata/part2/v1/diagrams/CodeThing.dot.svg,https://w3id.org/citydata/part2/v1/CodeThing,2026-07-23T14:01:11.870298
,AlertThing,AlertThing,"Added for organizational purposes, to identify classes defined for the Alert Pattern.",Class,https://w3id.org/citydata/part2/v1/diagrams/AlertThing.dot.svg,https://w3id.org/citydata/part2/v1/AlertThing,2026-07-23T14:01:11.870298
,ConstructionStatus,ConstructionStatus,Construction Status is a type of Code that describes the construction status of a Building or Infrastructure Element.,Class,https://w3id.org/citydata/part2/v1/diagrams/ConstructionStatus.dot.svg,https://w3id.org/citydata/part2/v1/ConstructionStatus,2026-07-23T14:01:11.870298
,ResidentialRelationship,ResidentialRelationship,A ResidentialRelationship defines the relationship of a Resident to a Residence.,Class,https://w3id.org/citydata/part2/v1/diagrams/ResidentialRelationship.dot.svg,https://w3id.org/citydata/part2/v1/ResidentialRelationship,2026-07-23T14:01:11.870298
,Definition,Definition,"A definition is a statement that explains the meaning of a term or concept as used within the domain object (e.g., a document).",Class,https://w3id.org/citydata/part2/v1/diagrams/Definition.dot.svg,https://w3id.org/citydata/part2/v1/Definition,2026-07-23T14:01:11.870298
,HomeType,HomeType,Home Type is a type of Code that describes the type of a Residence.,Class,https://w3id.org/citydata/part2/v1/diagrams/HomeType.dot.svg,https://w3id.org/citydata/part2/v1/HomeType,2026-07-23T14:01:11.870298
,ContractThing,ContractThing,"Added for organizational purposes, to identify classes defined in the Contract ontology.",Class,https://w3id.org/citydata/part2/v1/diagrams/ContractThing.dot.svg,https://w3id.org/citydata/part2/v1/ContractThing,2026-07-23T14:01:11.870298
,Role,Role,"A Role has a single, possibly complex, Goal.",Class,https://w3id.org/citydata/part2/v1/diagrams/Role.dot.svg,https://w3id.org/citydata/part2/v1/Role,2026-07-23T14:01:11.870298
,Bylaw,Bylaw,A bylaw is a law that is passed by a lower hierarchical entity that gains its authority from a government authority.,Class,https://w3id.org/citydata/part2/v1/diagrams/Bylaw.dot.svg,https://w3id.org/citydata/part2/v1/Bylaw,2026-07-23T14:01:11.870298
,ContractualDefinition,ContractualDefinition,A contractual definition is a definition of a term used within a contract.,Class,https://w3id.org/citydata/part2/v1/diagrams/ContractualDefinition.dot.svg,https://w3id.org/citydata/part2/v1/ContractualDefinition,2026-07-23T14:01:11.870298
,CityAdministrativeArea,CityAdministrativeArea,"Jurisdictional Area that has been identified for use by a City to reflect its unique areas such as districts, wards, neighbourhoods, or prefectures. ",Class,https://w3id.org/citydata/part2/v1/diagrams/CityAdministrativeArea.dot.svg,https://w3id.org/citydata/part2/v1/CityAdministrativeArea,2026-07-23T14:01:11.870298
,Importance,Importance,Importance is a type of Code that describes the level of importance of an event or action.,Class,https://w3id.org/citydata/part2/v1/diagrams/Importance.dot.svg,https://w3id.org/citydata/part2/v1/Importance,2026-07-23T14:01:11.870298
,ControlledEntity,ControlledEntity,A controlled entity is an entity that is subject to control by another entity.,Class,https://w3id.org/citydata/part2/v1/diagrams/ControlledEntity.dot.svg,https://w3id.org/citydata/part2/v1/ControlledEntity,2026-07-23T14:01:11.870298
,City,City,A City is a specialization of a Jurisdictional Area that is formally identified as such.,Class,https://w3id.org/citydata/part2/v1/diagrams/City.dot.svg,https://w3id.org/citydata/part2/v1/City,2026-07-23T14:01:11.870298
,AddressType,AddressType,"Address Type is a type of Code that describes the type of address, such as residential, business, or mailing.",Class,https://w3id.org/citydata/part2/v1/diagrams/AddressType.dot.svg,https://w3id.org/citydata/part2/v1/AddressType,2026-07-23T14:01:11.870298
